[2022-07-04 11:32:28] [    INFO] 前置条件：传音统一登录开始 (conftest.py:10)
[2022-07-04 11:32:31] [    INFO] 打开网页：http://10.250.112.166:9000/# (basics.py:30)
[2022-07-04 11:32:31] [    INFO] 查找元素：('xpath', "//div[@role='button']") (basics.py:51)
[2022-07-04 11:32:31] [    INFO] 点击元素：('xpath', "//div[@role='button']") (basics.py:110)
[2022-07-04 11:32:35] [    INFO] 查找元素：['xpath', "//*[contains(@id,'dropdown-menu-')]//li[1]"] (basics.py:51)
[2022-07-04 11:32:35] [    INFO] 查找元素：('xpath', "//div[@role='button']") (basics.py:51)
[2022-07-04 11:32:35] [    INFO] 点击元素：('xpath', "//div[@role='button']") (basics.py:110)
[2022-07-04 11:32:35] [    INFO] 查找元素：('id', 'tab-account') (basics.py:51)
[2022-07-04 11:32:35] [    INFO] 点击元素：('id', 'tab-account') (basics.py:110)
[2022-07-04 11:32:35] [    INFO] 查找元素：('xpath', "//*[@id='pane-account']/form/div[1]/div/div[1]/input") (basics.py:51)
[2022-07-04 11:32:36] [    INFO] 输入文本：18649572 (basics.py:72)
[2022-07-04 11:32:37] [    INFO] 查找元素：('xpath', "//*[@id='pane-account']/form/div[2]/div/div[1]/input") (basics.py:51)
[2022-07-04 11:32:37] [    INFO] 输入文本：xLily6x (basics.py:72)
[2022-07-04 11:32:38] [    INFO] 查找元素：('xpath', "//*[@id='pane-account']/form/div[4]/label/span/span") (basics.py:51)
[2022-07-04 11:32:38] [    INFO] 获取状态：False (basics.py:244)
[2022-07-04 11:32:38] [    INFO] 查找元素：('xpath', "//*[@id='pane-account']/form/div[4]/label/span/span") (basics.py:51)
[2022-07-04 11:32:38] [    INFO] 点击元素：('xpath', "//*[@id='pane-account']/form/div[4]/label/span/span") (basics.py:110)
[2022-07-04 11:32:38] [    INFO] 查找元素：('xpath', "//*[@id='pane-account']/form/button") (basics.py:51)
[2022-07-04 11:32:38] [    INFO] 点击元素：('xpath', "//*[@id='pane-account']/form/button") (basics.py:110)
[2022-07-04 11:32:38] [ WARNING] 断言失败：URL为预期不一致 | URL: http://10.248.39.163:10101/#/c-login?lang=zh&source=SCM_DRP&type=simple&redirect=http%3A%2F%2F10.250.112.166%3A9000%2F%23%2F (assert_ui.py:158)
[2022-07-04 11:32:39] [    INFO] 断言成功: 该内容存在数据列表中 | word:隆江 (assert_ui.py:241)
[2022-07-04 11:32:39] [    INFO] 前置条件：传音统一登录成功 (conftest.py:17)
[2022-07-04 11:32:39] [    INFO] 查找元素：('xpath', '//*[@id="app"]/div/div[1]/div[2]/div[1]/div/ul/div[11]/li/div/span') (basics.py:51)
[2022-07-04 11:32:42] [    INFO] 点击元素：('xpath', '//*[@id="app"]/div/div[1]/div[2]/div[1]/div/ul/div[11]/li/div/span') (basics.py:110)
[2022-07-04 11:32:42] [    INFO] 查找元素：('xpath', "//a[@href='#/systemManage/areaManage']//li[@role='menuitem']") (basics.py:51)
[2022-07-04 11:32:43] [    INFO] 点击元素：('xpath', "//a[@href='#/systemManage/areaManage']//li[@role='menuitem']") (basics.py:110)
[2022-07-04 11:32:48] [    INFO] 断言成功：URL为预期一致 | URL: http://10.250.112.166:9000/#/systemManage/areaManage (assert_ui.py:159)
[2022-07-04 11:32:50] [    INFO] 查找元素：['xpath', "//div[@class='main-top-audit']//div[contains(text(),'itel事业部')]"] (basics.py:51)
[2022-07-04 11:33:12] [    INFO] 查找元素：('xpath', '//*[@id="app"]/div/div[1]/div[2]/div[1]/div/ul/div[11]/li/div/span') (basics.py:51)
[2022-07-04 11:33:12] [    INFO] 点击元素：('xpath', '//*[@id="app"]/div/div[1]/div[2]/div[1]/div/ul/div[11]/li/div/span') (basics.py:110)
[2022-07-04 11:33:12] [    INFO] 查找元素：('xpath', "//a[@href='#/systemManage/areaManage']//li[@role='menuitem']") (basics.py:51)
[2022-07-04 11:33:12] [    INFO] 点击元素：('xpath', "//a[@href='#/systemManage/areaManage']//li[@role='menuitem']") (basics.py:110)
[2022-07-04 11:33:17] [    INFO] 断言成功：URL为预期一致 | URL: http://10.250.112.166:9000/#/systemManage/areaManage (assert_ui.py:159)
[2022-07-04 11:33:19] [    INFO] 查找元素：['xpath', "//div[@class='main-top-audit']//div[contains(text(),'itel事业部')]"] (basics.py:51)
[2022-07-04 11:33:19] [    INFO] 选择点击：['xpath', "//div[@class='main-top-audit']//div[contains(text(),'itel事业部')]"] (basics.py:107)
